layer,acc_6cls,std_6cls,acc_binary,f1_macro,spearman_r,null_mean,null_95
0,1.0,0.0,1.0,1.0,0.254781004690299,0.17125,0.2172916666666667
1,1.0,0.0,1.0,1.0,0.5118862037564873,0.1703125,0.2141666666666667
2,1.0,0.0,1.0,1.0,0.7098653065027017,0.169375,0.21104166666666668
3,1.0,0.0,1.0,1.0,0.6391534533695821,0.16843750000000002,0.2079166666666667
4,1.0,0.0,1.0,1.0,0.5550598750419478,0.1675,0.2047916666666667
5,1.0,0.0,1.0,1.0,0.483925441113212,0.16692708333333334,0.20572916666666669
6,1.0,0.0,1.0,1.0,0.5918596193268632,0.16635416666666666,0.2066666666666667
7,1.0,0.0,1.0,1.0,0.5110058270989535,0.16578125,0.2076041666666667
8,1.0,0.0,1.0,1.0,0.4682547366091093,0.16520833333333332,0.20854166666666668
9,1.0,0.0,1.0,1.0,0.49304614328526275,0.16520833333333332,0.20854166666666668
10,1.0,0.0,1.0,1.0,0.5277329835920969,0.16520833333333332,0.20854166666666668
