mean_acc,std_acc,fold_accs,mean_f1,std_f1,chance_level,layer,probe_label
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.16666666666666666,0,6class_tier
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.16666666666666666,1,6class_tier
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.16666666666666666,2,6class_tier
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.16666666666666666,3,6class_tier
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.16666666666666666,4,6class_tier
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.16666666666666666,5,6class_tier
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.16666666666666666,6,6class_tier
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.16666666666666666,7,6class_tier
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.16666666666666666,8,6class_tier
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.16666666666666666,9,6class_tier
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.16666666666666666,10,6class_tier
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.16666666666666666,11,6class_tier
